Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-dokument.json	17520	-	0	0	0	0	0	0	12	100	0	0	0	0	0	0	0	1	0	0	14	216	259	0	0	0	4	0	4
fsh-generated/resources/CapabilityStatement-mii-cps-dokument-capabilitystatement.json	12538	6	0	0	2	0	0	0	1	414	0	0	0	0	1	0	0	0	0	0	7	69	87	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-mii-cs-dokument-nlp-processing-status.json	3966	2	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	5	191	112	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-AmandaAlzheimerAnnotiertesDokument.json	48588	6	0	0	0	0	0	0	1	2612	0	0	0	0	0	0	0	0	0	0	4	251	66	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-AmandaAlzheimerDeIdentifiziertesDokument.json	11305	2	0	0	0	0	0	0	0	505	0	0	0	0	0	0	0	0	0	0	4	22	23	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-AmandaAlzheimerOriginalDokument.json	11768	4	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	3	167	28	0	0	1	0	0	0
fsh-generated/resources/Encounter-AmandaAlzheimerAbteilungskontakt.json	1287	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	9	23	0	0	0	0	0	0
fsh-generated/resources/Encounter-AmandaAlzheimerEinrichtungskontakt.json	1011	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	3	8	14	0	0	0	0	0	0
fsh-generated/resources/Encounter-AmandaAlzheimerVersorgungsstellenKontakt.json	1110	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	9	19	0	0	0	0	0	0
fsh-generated/resources/Patient-AmandaAlzheimer.json	654	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	5	13	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mii-ex-dokument-nlp-processing-status.json	2746	3	0	26	0	0	0	0	0	88	0	0	0	0	0	0	0	1	0	0	0	249	723	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-mii-lm-dokument.json	15164	5	0	21	0	0	0	0	0	35	0	0	1	0	1	0	0	1	0	0	3	243	458	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-mii-pr-dokument-dokument.json	56033	16	0	170	0	0	0	0	0	147	0	0	1	0	0	0	0	2	0	0	2	847	1727	0	1	0	28	0	4
fsh-generated/resources/ValueSet-mii-vs-dokument-einrichtungsart.json	1602	2	0	0	0	0	0	0	0	1015	0	0	0	0	0	0	0	0	0	0	7	11	371	0	0	0	1	0	0
